id,product,fabric_code,material_type_id
JMES_LEATHR_2210A,JMES_LEATHR,2210A,95059
JMES_LEATHR_8519A,JMES_LEATHR,8519A,95060
JMES_LEATHR_LTHR-01,JMES_LEATHR,LTHR-01,95053
JMES_LEATHR_LTHR-02,JMES_LEATHR,LTHR-02,95055
JMES_LEATHR_LTHR-03,JMES_LEATHR,LTHR-03,95054
JMES_LEATHR_LTHR-04,JMES_LEATHR,LTHR-04,95057
JMES_LEATHR_LTHR-05,JMES_LEATHR,LTHR-05,95056
JMES_LEATHR_LTHR-06,JMES_LEATHR,LTHR-06,95058
JMES_LEATHR_LTHR-07,JMES_LEATHR,LTHR-07,643840
JMES_LEATHR_LTHR-08,JMES_LEATHR,LTHR-08,644993
JMES_LEATHR_LTHR-09,JMES_LEATHR,LTHR-09,644511
JMES_OTTO_AK-618-16,JMES_OTTO,AK-618-16,567052
JMES_OTTO_AK-618-175,JMES_OTTO,AK-618-175,98599
JMES_OTTO_AK-618-184,JMES_OTTO,AK-618-184,98604
JMES_OTTO_AK-618-25,JMES_OTTO,AK-618-25,98597
JMES_OTTO_AK-618-40,JMES_OTTO,AK-618-40,98595
JMES_OTTO_AK-618-53,JMES_OTTO,AK-618-53,98598
JMES_OTTO_AM-001,JMES_OTTO,AM-001,160389
JMES_OTTO_AM-002,JMES_OTTO,AM-002,160141
JMES_OTTO_AM-003,JMES_OTTO,AM-003,159718
JMES_OTTO_ANG-001,JMES_OTTO,ANG-001,308164
JMES_OTTO_ANG-002,JMES_OTTO,ANG-002,260938
JMES_OTTO_ANG-003,JMES_OTTO,ANG-003,312976
JMES_OTTO_BI-133,JMES_OTTO,BI-133,98586
JMES_OTTO_CAS-005,JMES_OTTO,CAS-005,635381
JMES_OTTO_CAS-010,JMES_OTTO,CAS-010,141011
JMES_OTTO_CAS-011,JMES_OTTO,CAS-011,149222
JMES_OTTO_CAS-016,JMES_OTTO,CAS-016,141988
JMES_OTTO_CAS-021,JMES_OTTO,CAS-021,634560
JMES_OTTO_CB-158,JMES_OTTO,CB-158,98656
JMES_OTTO_COV-003,JMES_OTTO,COV-003,344092
JMES_OTTO_COV-004,JMES_OTTO,COV-004,119035
