id,product,leg_code,legs_type_id
MXWL_LEATHR_LEG001-1,MXWL_LEATHR,LEG001-1,208203
MXWL_LEATHR_LEG001-2,MXWL_LEATHR,LEG001-2,208197
MXWL_LEATHR_LEG001-3,MXWL_LEATHR,LEG001-3,208200
MXWL_LEATHR_LEG002-2,MXWL_LEATHR,LEG002-2,208230
MXWL_LEATHR_LEG002-3,MXWL_LEATHR,Leg002-3,208224
MXWL_LEATHR_LEG002-4,MXWL_LEATHR,LEG002-4,208227
MXWL_LEATHR_LEG008-1,MXWL_LEATHR,LEG008-1,208221
MXWL_LEATHR_LEG008-2,MXWL_LEATHR,LEG008-2,392391
MXWL_LEATHR_LEG008-3,MXWL_LEATHR,LEG008-3,208218
MXWL_LEATHR_LEG009-2,MXWL_LEATHR,LEG009-2,208212
MXWL_LEATHR_LEG009-3,MXWL_LEATHR,LEG009-3,208206
MXWL_LEATHR_LEG009-4,MXWL_LEATHR,LEG009-4,208209
MXWL_LEATHR_LEG014-1,MXWL_LEATHR,LEG014-1,575696
MXWL_LEATHR_LEG014-2,MXWL_LEATHR,LEG014-2,208188
MXWL_LEATHR_LEG014-3,MXWL_LEATHR,LEG014-3,208191
MXWL_LEATHR_LEG016-1,MXWL_LEATHR,LEG016-1,208185
MXWL_LEATHR_LEG016-2,MXWL_LEATHR,LEG016-2,208179
MXWL_LEATHR_LEG016-3,MXWL_LEATHR,LEG016-3,208182
MXWL_OTTO_LEG001-1,MXWL_OTTO,LEG001-1,24844
MXWL_OTTO_LEG001-2,MXWL_OTTO,LEG001-2,459355
MXWL_OTTO_LEG001-3,MXWL_OTTO,LEG001-3,24843
MXWL_OTTO_LEG002-2,MXWL_OTTO,LEG002-2,24853
MXWL_OTTO_LEG002-3,MXWL_OTTO,LEG002-3,24851
MXWL_OTTO_LEG002-4,MXWL_OTTO,LEG002-4,24852
MXWL_OTTO_LEG008-1,MXWL_OTTO,LEG008-1,24850
MXWL_OTTO_LEG008-2,MXWL_OTTO,LEG008-2,392334
MXWL_OTTO_LEG008-3,MXWL_OTTO,LEG008-3,24849
MXWL_OTTO_LEG009-2,MXWL_OTTO,LEG009-2,24847
MXWL_OTTO_LEG009-3,MXWL_OTTO,LEG009-3,24845
MXWL_OTTO_LEG009-4,MXWL_OTTO,LEG009-4,24846
MXWL_OTTO_LEG014-1,MXWL_OTTO,LEG014-1,355846
MXWL_OTTO_LEG014-2,MXWL_OTTO,LEG014-2,355843
MXWL_OTTO_LEG014-3,MXWL_OTTO,LEG014-3,355840
MXWL_OTTO_LEG016-1,MXWL_OTTO,LEG016-1,24838
MXWL_OTTO_LEG016-2,MXWL_OTTO,LEG016-2,24836
MXWL_OTTO_LEG016-3,MXWL_OTTO,LEG016-3,24837
MXWL_SLPCOV_LEG001-1,MXWL_SLPCOV,Leg001-1,699496
MXWL_SLPCOV_LEG001-2,MXWL_SLPCOV,Leg001-2,699494
MXWL_SLPCOV_LEG001-3,MXWL_SLPCOV,Leg001-3,699495
MXWL_SLPCOV_LEG002-2,MXWL_SLPCOV,Leg002-2,699504
MXWL_SLPCOV_LEG002-3,MXWL_SLPCOV,Leg002-3,699502
MXWL_SLPCOV_LEG002-4,MXWL_SLPCOV,Leg002-4,699503
MXWL_SLPCOV_LEG008-1,MXWL_SLPCOV,Leg008-1,699501
MXWL_SLPCOV_LEG008-2,MXWL_SLPCOV,Leg008-2,699508
MXWL_SLPCOV_LEG008-3,MXWL_SLPCOV,Leg008-3,699500
MXWL_SLPCOV_LEG009-2,MXWL_SLPCOV,Leg009-2,699499
MXWL_SLPCOV_LEG009-3,MXWL_SLPCOV,Leg009-3,699497
MXWL_SLPCOV_LEG009-4,MXWL_SLPCOV,Leg009-4,699498
MXWL_SLPCOV_LEG014-1,MXWL_SLPCOV,Leg014-1,699507
MXWL_SLPCOV_LEG014-2,MXWL_SLPCOV,Leg014-2,699506
MXWL_SLPCOV_LEG014-3,MXWL_SLPCOV,Leg014-3,699505
MXWL_SLPCOV_LEG016-1,MXWL_SLPCOV,LEG016-1,16667
MXWL_SLPCOV_LEG016-2,MXWL_SLPCOV,LEG016-2,16665
MXWL_SLPCOV_LEG016-3,MXWL_SLPCOV,LEG016-3,16666
MXWL_TALL_LEG001-1,MXWL_TALL,Leg001-1,15596
