id,base_url,fabric_attr_id,leg_attr_id,fixed_params
SLON_SLEEPR,https://www.interiordefine.com/living/all-custom-sofas/custom-sleeper-sofas/sloan-custom-sleeper-sofa,2709,2710,options-1074=4197&options-6782=158954&options-944=3565
SLON_LEATHR,https://www.interiordefine.com/living/all-custom-sofas/custom-sofas/sloan-leather-custom-sofa,2614,2615,options-1588=6974&options-683=2658&options-684=2651&options-96=327
SLON_OTTO,https://www.interiordefine.com/living/all-custom-ottomans/sloan-custom-ottoman,2642,2643,options-358=1449&options-664=3126
SLON_CHSE,https://www.interiordefine.com/sloan-custom-chaise-lounge,2669,2670,options-133=467&options-670=3135
MXWL_TALL,https://www.interiordefine.com/maxwell-custom-sofa,24347,2648,options-134=470&options-610=9114&options-611=2446&options-6740=153883&options-23192=651075
MXWL_SLPCOV,https://www.interiordefine.com/maxwell-slipcovered-custom-sofa,24355,23888,options-23889=699509&options-23890=699511&options-23891=699516&options-23892=699518&options-23893=699520
MXWL_LEATHR,https://www.interiordefine.com/maxwell-leather-custom-sofa,10305,8838,options-8826=207789&options-8829=207804&options-8841=208233
MXWL_OTTO,https://www.interiordefine.com/maxwell-custom-ottoman,24337,2907,options-341=3093&options-2343=10215&options-23196=651082
JMES_SLEEPR,https://www.interiordefine.com/james-2-seat-sleeper-sofa,5447,0,options-5446=100981&options-5449=101091&options-5548=104182
JMES_LEATHR,https://www.interiordefine.com/james-leather-3-seat-sofa,5064,0,options-5060=94939&options-5061=94943&options-5063=95051
JMES_SSTWIN,https://www.interiordefine.com/james-custom-twin-sleeper-sofa,7880,0,options-7878=187273&options-7882=187402
JMES_OTTO,https://www.interiordefine.com/living/all-custom-ottomans/james-storage-square-ottoman,5280,0,options-5279=98562&options-5281=98670&options-5282=98672
