Brand,Date,Campaign Name,Revenue,Sessions,Purchases,Sends,Clicks,CTR
BW,2025-12-01,P_SMS_2025_12_01_BW_Black_Friday_Sale_Final_Hours,$659,133,1,6347,185,2.91%
BW,2025-12-02,P_SMS_2025_12_02_BW_Giving_Tuesday,$0,61,0,6343,116,1.83%
BW,2025-12-05,P_SMS_2025_12_05_BW_Cyber_Week_Event_Reminder,$0,303,0,6343,388,6.12%
BW,2025-12-08,P_SMS_2025_12_08_BW_Cyber_Week_Event_Last_Chance,$0,107,0,6339,170,2.68%
BW,2025-12-09,P_SMS_2025_12_09_BW_Cyber_Week_Event_Final_Hours,$0,107,0,6334,158,2.49%
BW,2025-12-16,P_SMS_2025_12_16_BW_Range,$0,112,0,6335,174,2.75%
BW,2025-12-17,P_SMS_2025_12_17_BW_End_of_Year_Sale_Launch,$0,132,0,6332,160,2.53%
BW,2025-12-24,P_SMS_2025_12_24_BW_End_of_Year_Sale_Launch,$0,152,0,6451,200,3.10%
BW,2025-12-26,P_SMS_2025_12_26_BW_End_of_Year_Sale,$362,180,1,6469,246,3.80%
BW,2025-12-31,P_SMS_2025_12_31_BW_End_of_Year_Sale_Final_Hours,$603,110,1,6523,182,2.79%
CZ,2025-12-01,P_SMS_2025_12_01_CZ_BFCM_Cyber_Monday,$567,201,3,20327,198,0.97%
CZ,2025-12-02,P_SMS_2025_12_02_CZ_Cyber_Week_Extension,$59,212,1,20206,202,1.00%
CZ,2025-12-05,P_SMS_2025_12_05_CZ_Cyber_Week_Event_Reminder,$0,132,0,20123,145,0.72%
CZ,2025-12-08,P_SMS_2025_12_08_CZ_Cyber_Week_Event_Last_Chance,$167,103,1,20062,122,0.61%
CZ,2025-12-11,P_SMS_2025_12_11_CZ_Holiday_Shop_SMS,$69,207,1,20024,187,0.93%
CZ,2025-12-12,P_SMS_2025_12_12_CZ_Archive_Sale,$468,240,2,19996,224,1.12%
CZ,2025-12-15,P_SMS_2025_12_15_CZ_Gift_Card_SMS,$0,66,0,19958,80,0.40%
CZ,2025-12-19,P_SMS_2025_12_19_CZ_Best_Sellers_SMS,$0,117,0,19914,135,0.68%
CZ,2025-12-23,P_SMS_2025_12_23_CZ_Gift_Card_SMS,$117,50,1,19869,72,0.36%
CZ,2025-12-26,P_SMS_2025_12_26_CZ_Year_End_Refresh_Event_Launch_SMS,$495,192,2,19826,187,0.94%
CZ,2025-12-28,P_SMS_2025_12_28_CZ_Archive_Sale,$882,349,5,19779,342,1.73%
CZ,2025-12-31,P_SMS_2025_12_31_CZ_Year_End_Refresh_Event_Reminder_SMS,$0,114,0,19732,158,0.80%
ID,2025-12-01,P_SMS_2025_12_01_ID_BFM_Cyber_Monday,"$11,187",443,5,50683,346,0.68%
ID,2025-12-02,P_SMS_2025_12_02_ID_Giving_Tuesday,$900,176,1,50518,160,0.32%
ID,2025-12-03,P_SMS_2025_12_03_ID_InStock_Delivery_Xmas,"$2,083",700,1,50387,598,1.19%
ID,2025-12-04,P_SMS_2025_12_04_ID_Cyber_Week_Extension,$0,293,0,50323,283,0.56%
ID,2025-12-06,P_SMS_2025_12_06_ID_Cyber_Week_Extension_Reminder,$0,432,0,50241,392,0.78%
ID,2025-12-08,P_SMS_2025_12_08_ID_Cyber_Week_Extension_Last_Chance,$0,311,0,50164,269,0.54%
ID,2025-12-09,P_SMS_2025_12_09_ID_Cyber_Week_Final_Hours,"$2,069",322,1,50094,273,0.54%
ID,2025-12-18,P_SMS_2025_12_18_ID_End_Of_Year_Sale_Launch,"$5,357",318,2,50112,287,0.57%
ID,2025-12-19,P_SMS_2025_12_19_ID_End_of_Year_Sale_In_Stock,"$2,901",310,1,50041,275,0.55%
ID,2025-12-20,P_SMS_2025_12_20_ID_Leather_Highlight,$0,545,0,50000,477,0.95%
ID,2025-12-24,P_SMS_2025_12_24_ID_Gift_Cards,$0,158,0,49912,161,0.32%
ID,2025-12-29,P_SMS_2025_12_29_ID_End_Of_Year_Sale_Reminder,$0,469,0,49843,434,0.87%
SF,2025-12-01,P_SMS_2025_12_01_SF_Cyber_Monday,$0,51,0,4359,62,1.42%
SF,2025-12-03,P_SMS_2025_12_03_SF_Extended,$582,132,2,4318,137,3.17%
SF,2025-12-10,P_SMS_2025_12_10_SF_Last_Day,$158,68,1,4277,77,1.80%
SF,2025-12-18,P_SMS_2025_12_18_SF_Sale_Starts_Now,$0,123,0,4241,126,2.97%
SF,2025-12-23,P_SMS_2025_12_23_SF_Last_Minute_Gift,$0,24,0,4240,33,0.78%
SF,2025-12-26,P_SMS_2025_12_26_SF_Sale_Continues,$0,249,0,4215,264,6.26%
SF,2025-12-31,P_SMS_2025_12_31_SF_Sale_Extended,$0,39,0,4199,55,1.31%
