type,workspace,send_date,campaign_or_step,sends,opens,open_rate,clicks,click_rate,ctor,orders_xbrand,revenue_xbrand,rev_per_1k
blast,STF,2024-08-08,P_2024_08_09_D_SF_PR_Sunset_Sale_Trade_Email,667,126,0.1889,16,0.0240,0.1270,1,371.25,556.60
blast,STF,2024-08-10,P_2024_08_10_D_SF_Trade_GTL_Bedding_Email,667,127,0.1904,13,0.0195,0.1024,0,0.00,0.00
blast,STF,2024-08-11,P_2024_08_11_PT_SF_PR_Sunset_Sale_Trade_Reminder_Email,665,133,0.2000,16,0.0241,0.1203,1,18.66,28.06
blast,STF,2024-08-11,P_2024_08_12_D_SF_Trade_CAT_Fabric_Email,664,144,0.2169,13,0.0196,0.0903,0,0.00,0.00
blast,STF,2024-08-13,P_2024_08_13_PT_SF_PR_Sunset_Sale_Trade_Last_Call_Email,658,137,0.2082,12,0.0182,0.0876,0,0.00,0.00
blast,STF,2024-08-13,P_2-24_08_13_D_SF_CF_Trade_Cactus_Silk_Highlight_Email,663,137,0.2066,9,0.0136,0.0657,0,0.00,0.00
blast,CZ,2024-08-29,P_2024_08_29_D_CZ_D_LDW_Bedding_Trade_Email,10627,4793,0.4510,112,0.0105,0.0234,2,176.77,16.63
blast,ID,2024-09-02,P_2024_09_02_D_ID_TRADE_Labor_Day_Sale_Reminder _Email,2981,1238,0.4153,101,0.0339,0.0816,0,0.00,0.00
blast,CZ,2024-09-03,SEG_2024_09_03_D_CZ_ME_September_Edit_Trade_Email,10661,4695,0.4404,158,0.0148,0.0337,0,0.00,0.00
blast,ID,2024-09-06,P_2024_09_07_D_ID_TRADE_Fall_Preview_Email,2905,1155,0.3976,67,0.0231,0.0580,1,1975.76,680.12
blast,ID,2024-09-09,P_2024_09_09_D_ID_TRADE_Labor_Day_Sale_Last_Chance_Email,2890,1318,0.4561,50,0.0173,0.0379,0,0.00,0.00
blast,ID,2024-09-11,P_2024_09_10_PT_ID_TRADE_New_Swatches_Email,2879,1149,0.3991,105,0.0365,0.0914,0,0.00,0.00
blast,CZ,2024-09-16,SEG_2024_09_17_D_CZ_D_Fall_Coming_Soon_Trade_Email,10789,5195,0.4815,220,0.0204,0.0423,2,1144.81,106.11
blast,ID,2024-09-20,P_2024_09_20_D_ID_D_TRADE_ID_Lee_Collection_Launch_Email,2860,1187,0.4150,43,0.0150,0.0362,0,0.00,0.00
blast,ID,2024-09-24,P_2024_09_24_D_ID_PR_TRADE_ID_Sale_Start _Email,2850,1243,0.4361,65,0.0228,0.0523,0,0.00,0.00
blast,CZ,2024-09-25,SEG_2024_09_26_D_CZ_D_TRADE_CZ,10901,5481,0.5028,186,0.0171,0.0339,1,120.41,11.05
blast,ID,2024-09-29,P_2024_09_30_ID_TRADE_PT_Sale_Last_Chance_Email,2831,1068,0.3773,68,0.0240,0.0637,1,274.92,97.11
blast,CZ,2024-10-03,SEG_2024_10_04_D_CZ_D_Trade_Fall_Catalog_Email,10982,5571,0.5073,198,0.0180,0.0355,2,1076.82,98.05
blast,ID,2024-10-07,TRADE_2024_10_07_ID_New_Arrivals_Roundup_Email,2822,1534,0.5436,57,0.0202,0.0372,0,0.00,0.00
blast,ID,2024-10-08,TRADE_2024_10_08_ID_SF_Launch_Email,15349,3644,0.2374,549,0.0358,0.1507,1,568.59,37.04
blast,STF,2024-10-08,TRADE_2024_10_08_D_SF_Launch_Email,983,274,0.2787,28,0.0285,0.1022,2,130.61,132.87
blast,ID,2024-10-14,P_2024_10_14_ID_Trade_Autumn_Event_Reminder_Email,2806,1190,0.4241,45,0.0160,0.0378,1,3888.99,1385.96
blast,CZ,2024-10-15,P_2024_10_16_D_CZ_PR_TRADE_CZ_Holiday_Send_Email,14404,7388,0.5129,205,0.0142,0.0277,0,0.00,0.00
blast,STF,2024-10-18,TRADE_2024_10_18_D_SF_October_Promo_Bedding_Pillows_Email,995,264,0.2653,16,0.0161,0.0606,0,0.00,0.00
blast,ID,2024-10-22,TRADE_2024_10_22_D_Autumn_Event_Last_Chance_Combined_Email,2793,1252,0.4483,68,0.0243,0.0543,0,0.00,0.00
blast,STF,2024-10-24,Seg_2024_10_24_PT_SF_Trade_Reminder_Palm_Beach_Email,87,28,0.3218,1,0.0115,0.0357,0,0.00,0.00
blast,STF,2024-10-24,Seg_2024_10_23_PT_SF_Trade_Reminder_Email,984,325,0.3303,26,0.0264,0.0800,0,0.00,0.00
blast,CZ,2024-10-25,P_2024_10_25_D_CZ_PR_TRADE_CZ_Back_in_Stock_Rugs_Email,14285,7169,0.5019,169,0.0118,0.0236,4,329.21,23.05
blast,ID,2024-10-31,TRADE_2024_10_31_ID_Combined_Swatch_Push_Email,3740,1779,0.4757,191,0.0511,0.1074,0,0.00,0.00
blast,ID,2024-11-04,TRADE_2024_11_1_PT_ID_BFCM_EA_Announcement_Email,3702,1540,0.4160,124,0.0335,0.0805,2,5167.33,1395.82
blast,STF,2024-11-05,P_2024_11_05_D_SF_PR_Trade_Black_Daisy_Suzani_Launch_Email,1034,241,0.2331,13,0.0126,0.0539,1,285.00,275.63
blast,CZ,2024-11-08,Trade_2024_11_8_D_CZ_PR_CZ_Holiday_Catalog_Email,14409,7253,0.5034,227,0.0158,0.0313,2,232.89,16.16
