Date,Swatch Sends,Other Sends,Total Sends,Swatch %
2024-08-15,0,37965,37965,0.0
2024-08-16,0,594,594,0.0
2024-08-18,1039,0,1039,100.0
2024-08-19,0,4738,4738,0.0
2024-08-21,0,18354,18354,0.0
2024-08-22,0,17335,17335,0.0
2024-08-23,0,34763,34763,0.0
2024-08-24,0,34707,34707,0.0
2024-08-25,0,34652,34652,0.0
2024-08-26,39097,0,39097,100.0
2024-08-27,0,74134,74134,0.0
2024-08-28,0,51892,51892,0.0
2024-08-29,0,39669,39669,0.0
2024-08-30,0,3889,3889,0.0
2024-08-31,0,36244,36244,0.0
2024-09-01,0,78605,78605,0.0
2024-09-02,0,45478,45478,0.0
2024-09-03,0,5060,5060,0.0
2024-09-04,0,38316,38316,0.0
2024-09-05,0,38634,38634,0.0
2024-09-06,0,42082,42082,0.0
2024-09-07,0,79420,79420,0.0
2024-09-08,4900,46268,51168,9.6
2024-09-09,0,30713,30713,0.0
2024-09-10,0,394,394,0.0
2024-09-11,45048,0,45048,100.0
2024-09-12,0,42585,42585,0.0
2024-09-13,0,86220,86220,0.0
2024-09-14,0,43696,43696,0.0
2024-09-15,0,44192,44192,0.0
2024-09-17,44735,0,44735,100.0
2024-09-18,0,173503,173503,0.0
2024-09-19,0,45435,45435,0.0
2024-09-20,0,94707,94707,0.0
2024-09-22,0,93201,93201,0.0
2024-09-24,0,56445,56445,0.0
2024-09-25,63670,0,63670,100.0
2024-09-26,0,53344,53344,0.0
2024-09-27,0,53606,53606,0.0
2024-09-28,0,108701,108701,0.0
2024-09-29,0,57141,57141,0.0
2024-09-30,0,7181,7181,0.0
2024-10-02,55462,0,55462,100.0
2024-10-03,0,111538,111538,0.0
2024-10-05,0,53155,53155,0.0
2024-10-06,0,53508,53508,0.0
2024-10-07,0,56637,56637,0.0
2024-10-08,54173,15349,69522,77.9
2024-10-10,0,54739,54739,0.0
2024-10-11,0,115288,115288,0.0
2024-10-12,0,55441,55441,0.0
2024-10-13,0,55765,55765,0.0
2024-10-14,0,2806,2806,0.0
2024-10-15,56248,0,56248,100.0
2024-10-16,0,56495,56495,0.0
2024-10-17,0,56800,56800,0.0
2024-10-18,0,62212,62212,0.0
2024-10-19,0,114801,114801,0.0
2024-10-20,0,57949,57949,0.0
2024-10-21,15759,2654,18413,85.6
2024-10-22,0,73062,73062,0.0
2024-10-24,58800,0,58800,100.0
2024-10-25,0,118400,118400,0.0
2024-10-26,0,59544,59544,0.0
2024-10-28,0,101593,101593,0.0
2024-10-29,59893,0,59893,100.0
2024-10-30,0,60135,60135,0.0
2024-10-31,3740,60314,64054,5.8
2024-11-01,0,60776,60776,0.0
2024-11-02,0,60999,60999,0.0
2024-11-03,0,64960,64960,0.0
2024-11-04,0,61602,61602,0.0
2024-11-05,0,61970,61970,0.0
2024-11-07,62788,807,63595,98.7
2024-11-08,0,63464,63464,0.0
2024-11-09,0,63463,63463,0.0
2024-11-10,0,63910,63910,0.0
2024-11-11,64361,0,64361,100.0
2024-11-12,21853,50198,72051,30.3
2024-11-13,0,65684,65684,0.0
2024-11-14,22062,47686,69748,31.6
2024-11-15,0,66134,66134,0.0
2024-11-16,0,133692,133692,0.0
2024-11-18,0,67830,67830,0.0
2024-11-19,68300,0,68300,100.0
2024-11-20,0,68779,68779,0.0
2024-11-21,0,69455,69455,0.0
2024-11-22,0,86281,86281,0.0
2024-11-23,0,71102,71102,0.0
2024-11-24,0,71995,71995,0.0
2024-11-25,0,81218,81218,0.0
2024-11-26,0,73401,73401,0.0
2024-11-27,0,90216,90216,0.0
2024-11-28,0,83015,83015,0.0
2024-11-29,0,91623,91623,0.0
2024-11-30,0,159804,159804,0.0
2024-12-01,0,80854,80854,0.0
2024-12-02,0,32739,32739,0.0
2024-12-03,0,97855,97855,0.0
2024-12-04,0,81635,81635,0.0
2024-12-05,0,84450,84450,0.0
2024-12-06,0,85232,85232,0.0
2024-12-07,0,188973,188973,0.0
2024-12-09,26151,60284,86435,30.3
2024-12-10,0,104225,104225,0.0
2024-12-12,88502,0,88502,100.0
2024-12-13,0,88798,88798,0.0
2024-12-14,0,89069,89069,0.0
2024-12-15,0,89423,89423,0.0
2024-12-16,0,90281,90281,0.0
2024-12-17,90126,0,90126,100.0
2024-12-19,0,90665,90665,0.0
2024-12-20,0,107090,107090,0.0
2024-12-21,0,182283,182283,0.0
2024-12-23,0,91236,91236,0.0
2024-12-24,0,91589,91589,0.0
2024-12-25,0,91711,91711,0.0
2024-12-26,91793,0,91793,100.0
2024-12-28,0,92158,92158,0.0
2024-12-29,0,92377,92377,0.0
2024-12-30,0,92487,92487,0.0
2024-12-31,0,92591,92591,0.0
2025-01-01,0,92776,92776,0.0
2025-01-02,0,93094,93094,0.0
2025-01-03,0,16408,16408,0.0
2025-01-04,0,93457,93457,0.0
2025-01-05,0,187930,187930,0.0
2025-01-08,94901,0,94901,100.0
2025-01-09,0,93327,93327,0.0
2025-01-10,0,191851,191851,0.0
2025-01-12,0,96344,96344,0.0
2025-01-13,0,97351,97351,0.0
2025-01-14,96407,900,97307,99.1
2025-01-16,0,113782,113782,0.0
2025-01-17,0,98431,98431,0.0
2025-01-18,0,196188,196188,0.0
2025-01-19,0,98704,98704,0.0
2025-01-20,99153,0,99153,100.0
2025-01-21,0,99582,99582,0.0
2025-01-22,0,99978,99978,0.0
2025-01-24,0,203251,203251,0.0
2025-01-25,0,102368,102368,0.0
2025-01-26,0,102955,102955,0.0
2025-01-27,0,103548,103548,0.0
2025-01-28,0,16860,16860,0.0
2025-01-29,104638,0,104638,100.0
2025-01-30,0,105045,105045,0.0
2025-01-31,0,105438,105438,0.0
2025-02-01,0,105954,105954,0.0
2025-02-02,0,106465,106465,0.0
2025-02-04,106997,0,106997,100.0
2025-02-06,0,107866,107866,0.0
2025-02-07,0,125664,125664,0.0
2025-02-08,0,108510,108510,0.0
2025-02-09,0,218741,218741,0.0
2025-02-11,0,129294,129294,0.0
2025-02-12,0,220774,220774,0.0
2025-02-13,0,110366,110366,0.0
2025-02-14,110773,38215,148988,74.4
2025-02-15,0,222860,222860,0.0
2025-02-16,28209,137811,166020,17.0
2025-02-18,0,134253,134253,0.0
2025-02-19,0,113391,113391,0.0
2025-02-20,0,113924,113924,0.0
2025-02-21,0,114391,114391,0.0
2025-02-22,0,114896,114896,0.0
2025-02-23,0,135306,135306,0.0
2025-02-24,0,116336,116336,0.0
2025-02-25,0,138011,138011,0.0
2025-02-26,0,21595,21595,0.0
2025-02-27,0,118526,118526,0.0
2025-02-28,119048,819,119867,99.3
2025-03-01,0,240067,240067,0.0
2025-03-03,0,121222,121222,0.0
2025-03-05,122462,17582,140044,87.4
2025-03-06,0,122840,122840,0.0
2025-03-07,0,240105,240105,0.0
2025-03-08,0,246994,246994,0.0
2025-03-10,0,124421,124421,0.0
2025-03-11,124243,138505,262748,47.3
2025-03-13,0,142583,142583,0.0
2025-03-14,0,123624,123624,0.0
2025-03-15,0,127669,127669,0.0
2025-03-16,0,129081,129081,0.0
2025-03-17,0,128380,128380,0.0
2025-03-18,130678,0,130678,100.0
2025-03-19,0,129122,129122,0.0
2025-03-20,0,148818,148818,0.0
2025-03-21,0,276521,276521,0.0
2025-03-22,0,145538,145538,0.0
2025-03-24,31789,240490,272279,11.7
2025-03-25,0,169642,169642,0.0
2025-03-26,0,146576,146576,0.0
2025-03-27,0,146878,146878,0.0
2025-03-28,0,142444,142444,0.0
2025-03-29,0,295753,295753,0.0
2025-03-30,31933,142707,174640,18.3
2025-03-31,0,305764,305764,0.0
2025-04-02,149214,0,149214,100.0
2025-04-03,0,149501,149501,0.0
2025-04-04,0,299630,299630,0.0
2025-04-05,0,150253,150253,0.0
2025-04-07,0,150516,150516,0.0
2025-04-08,168949,0,168949,100.0
2025-04-10,0,151190,151190,0.0
2025-04-11,0,323405,323405,0.0
2025-04-12,0,154030,154030,0.0
2025-04-14,0,154238,154238,0.0
2025-04-15,154402,0,154402,100.0
2025-04-16,0,154528,154528,0.0
2025-04-17,0,154740,154740,0.0
2025-04-18,0,334200,334200,0.0
2025-04-20,0,155357,155357,0.0
2025-04-21,0,173973,173973,0.0
2025-04-22,0,180208,180208,0.0
2025-04-23,0,156122,156122,0.0
2025-04-24,156299,156491,312790,50.0
2025-04-25,0,156676,156676,0.0
2025-04-26,0,156927,156927,0.0
2025-04-28,0,157145,157145,0.0
2025-04-29,0,157758,157758,0.0
2025-05-01,158244,0,158244,100.0
2025-05-02,0,158387,158387,0.0
2025-05-03,0,158140,158140,0.0
2025-05-04,0,158311,158311,0.0
2025-05-06,0,158802,158802,0.0
2025-05-07,158935,0,158935,100.0
2025-05-08,0,217304,217304,0.0
2025-05-09,0,337625,337625,0.0
2025-05-10,0,159709,159709,0.0
2025-05-12,0,159906,159906,0.0
2025-05-13,66441,102730,169171,39.3
2025-05-14,0,161218,161218,0.0
2025-05-15,0,161474,161474,0.0
2025-05-16,0,203452,203452,0.0
2025-05-17,0,324258,324258,0.0
2025-05-19,0,162643,162643,0.0
