TE TRADE PERFORMANCE -- Jul 15 2025 to Jul 15 2026
"Sends/unique opens/unique clicks: Klaviyo API (campaign-values-reports / flow-values-reports, opens_unique/clicks_unique statistics). Deduplicated by klaviyo_campaign_id / klaviyo_message_id (52 duplicate blast YAML files found and collapsed).","Sessions/orders/revenue: GA4 Explore (Session campaign x Sessions, Ecommerce purchases, Total revenue; Session medium = email), matched by Klaviyo campaign/message ID.","Excludes flow-welcome-series (general welcome-series step that only matched on a 'trade-program' substring, not a true trade-specific flow)."
NOTE: 52 trade blast campaigns had two identical YAML files in the knowledgebase (same name/date/ID) due to a filename-truncation bug in the importer -- deduplicated here to avoid double-counting. Knowledgebase cleanup is a separate follow-up.

SECTION 1: TRADE BLASTS (one-time sends)
Campaign Name,Klaviyo Campaign ID,Sends,Unique Opens,Unique Open Rate,Unique Clicks,Unique Click Rate,GA4 Sessions,Orders,Revenue,Revenue/Send
Clone Clone 10-08-25 | INVITE: High Point Party With PRB (Trade)-Full List | Events & Trade Perks,01K709YEAN44CF04VNHT9AMJMW,3671,2371,0.6459,67,0.0183,0,0,0.00,0.0000
08-08-25 | OOO: British Countryside (Trade) | Shopping,01K1E01RC1K8E37CNBYG250GQV,4085,2402,0.5880,107,0.0262,0,0,0.00,0.0000
12-22-25 | New Arrivals (Trade) | Shopping,01KCPRBZMJ59RVR3JQ83N5AXF9,6500,3361,0.5171,137,0.0211,0,0,0.00,0.0000
08-13-25 | Trade Newsletter | Welcome New 3 (clone),01K2J4CNGRT08RHPNNJWPD9ZAC,4109,2411,0.5868,49,0.0119,0,0,0.00,0.0000
10-29-25 | $250 Trade Credit Reminder 3 | Shopping,01K86WWPESC1W2GXB31SMDNC37,2314,1302,0.5627,67,0.0290,0,0,0.00,0.0000
10-06-25 | Vintage Sale: Last Call (Trade) | Shopping,01K6JSGMJZQZ5EN2ME521MSHS7,4222,2387,0.5654,161,0.0381,0,0,0.00,0.0000
11-06-25 | Austin Follow-Up (Trade Members) | Trade,01K8TP72W55S2CZ94VDC7V6ZKN,89,67,0.7528,5,0.0562,0,0,0.00,0.0000
12-16-25 | Pantone COTY: Winter Whites (Trade) | Shopping,01KC4JS4M62QS6CTMEZ8M53X6B,6583,3542,0.5381,134,0.0204,0,0,0.00,0.0000
08-16-25 | Home Tour: House Seven Design (Trade) | Editorial,01K2Q68VYGS3AKZAJ4280977S6,4182,2551,0.6100,189,0.0452,416,1,90.00,0.0215
01-29-26 | W Collective Sycamore Street (Trade) | Editorial (clone) (clone),01KG89WBSB9YFTMX69H92YD2NZ,6645,3597,0.5413,219,0.0330,238,1,1300.00,0.1956
09-23-25 | Noz Nozawa Showroom (Trade) | Shopping,01K5C9CB12W6DGX22G9RZM76CE,4247,2409,0.5672,101,0.0238,0,0,0.00,0.0000
01-08-26 | Jessica Helgerson Invite (Trade) | Events & Trade Perks,01KECKVBNXCYBMHKGPR57GZCRG,6508,3532,0.5427,238,0.0366,61,2,-24.81,-0.0038
11-18-25 | Customer → Member Flow Email 3 (Trade) | Trade,01KA1NBHAKFFKRR514BY4SZQY5,460,247,0.5370,7,0.0152,0,0,0.00,0.0000
10-10-25 | Lessons From Seth and Andre’s Office Hour (Trade) | Editorial,01K6X3HNFPTMYTAEA4ME5RPXVK,4403,2595,0.5894,181,0.0411,0,0,0.00,0.0000
12-03-25 | New Brands (Trade) | Shopping,01KAY157TRP34ZRQD4NA38XEER,6505,3536,0.5436,189,0.0291,0,0,0.00,0.0000
