Brand,Rank,Campaign Name,Revenue,CTR,Sends,Clicks
BW,1,BW Union Highlight,$0,23.99%,"6,402","1,536"
BW,2,BW Russet Launch Engaged Audience,"$3,581",8.81%,"3,961",349
BW,3,BW Clearance,$0,6.84%,"6,371",436
BW,4,BW Russet Launch,$0,6.69%,"6,312",422
BW,5,BW Cyber Week Event Reminder,$0,6.12%,"6,343",388
CZ,1,CZ Back In Stock Engaged,$667,3.11%,"6,844",213
CZ,2,CZ Holiday Collection Launch SMS,$488,2.23%,"21,393",478
CZ,3,CZ Archive Sale,$6,1.98%,"20,611",408
CZ,4,CZ Soho Event Reminder SMS,$0,1.97%,"1,017",20
CZ,5,CZ Sateen Launch,$507,1.96%,"21,365",419
ID,1,ID Black Friday Preview Retail Offer,$0,1.72%,"11,240",193
ID,2,ID Accent Chairs SMS,$0,1.58%,"51,116",806
ID,3,ID Sip Sit Reminder,"$11,860",1.56%,"10,996",172
ID,4,ID Black Friday EA SMS,"$16,757",1.28%,"51,149",656
ID,5,ID Deep Blues Swatch Talk,$0,1.23%,"51,379",633
SF,1,SF Custom Furniture,$0,7.28%,"4,463",325
SF,2,SF Holiday is Here,$507,6.71%,"4,528",304
SF,3,SF Sale Continues,$0,6.26%,"4,215",264
SF,4,SF Pillow Play,$0,6.12%,"4,458",273
SF,5,SF Dreamy Bedding,$0,5.85%,"4,482",262
